,index,x0,iata,latitude,longitude,country,state,region,hub
263,263,0.9985522465012174,RST,43.91027778,-92.49638889,US,MN,centre,no
264,264,0.6902139612351385,TVC,44.74,-85.58583333,US,MI,east,no
265,265,0.5582358058307269,FAR,46.91555556,-96.81472222,US,ND,centre,no
266,266,0.1884425350322965,HUF,39.45444444,-87.3075,US,IN,east,no
267,267,0.9986820278125139,MWA,37.75194444,-89.01638889,US,IL,east,no
268,268,0.7924484250359706,ALS,37.43666667,-105.86666667,US,CO,west,no
269,269,0.6903433196797454,ALW,46.09472222,-118.29111111,US,WA,west,no
270,270,0.15945236401180524,LAW,34.56972222,-98.41611111,US,OK,centre,no
271,271,0.9975412477323049,ANB,33.59027778,-85.85583333,US,AL,centre,no
272,272,0.005519666471183662,MTO,39.47861111,-88.27833333,US,IL,east,no
273,273,0.24764533155475682,PAE,47.90833333,-122.28138889,US,WA,west,no
274,274,0.005417180947900561,AND,34.49361111,-82.71,US,SC,east,no
275,275,0.707046316381181,BED,42.47083333,-71.29,US,MA,east,no
276,276,0.6966639593561702,ANP,38.94277778,-76.56888889,US,MD,east,no
277,277,0.7784071403007253,AOO,40.29722222,-78.32,US,PA,east,no
278,278,0.39799421897300796,APA,39.57277778,-104.84777778,US,CO,west,no
279,279,0.0016035355008977004,BJC,39.90888889,-105.11722222,US,CO,west,no
280,280,0.5917660713040839,TRM,33.62638889,-116.16083333,US,CA,west,no
281,281,0.25714992950681204,APF,26.15277778,-81.77527778,US,FL,east,no
282,282,0.9987288748358201,APN,45.08166667,-83.55583333,US,MI,east,no
283,283,0.001236041687747779,CIU,46.24194444,-84.46611111,US,MI,east,no
284,284,0.8259530671718182,BGR,44.80777778,-68.82777778,US,ME,east,no
285,285,0.001599192398108397,ASE,39.22416667,-106.86888889,US,CO,west,no
286,286,0.30069776293191347,JAC,43.60666667,-110.73694444,US,WY,west,no
287,287,0.8780482085059779,AST,46.15972222,-123.88,US,OR,west,no
288,288,0.9974845323978073,BKG,36.53194444,-93.20055556,US,MO,centre,no
289,289,0.6793673908387095,BKL,41.51694444,-81.68333333,US,OH,east,no
290,290,0.6272337722930081,BMI,40.48194444,-88.9275,US,IL,east,no
291,291,0.5217169037562753,BZN,45.78027778,-111.15944444,US,MT,west,no
292,292,0.0024121131390110987,CGI,37.22361111,-89.57166667,US,MO,centre,no
293,293,0.5343033215396465,CHA,35.03638889,-85.20361111,US,TN,east,no
294,294,0.5657688723350699,CLL,30.58944444,-96.36444444,US,TX,centre,no
295,295,0.9986796604636332,DHN,31.32,-85.44833333,US,AL,centre,no
296,296,0.42030844183230587,EGE,39.64361111,-106.91388889,US,CO,west,no
297,297,0.8777396207391623,EVV,38.03666667,-87.5325,US,IN,east,no
298,298,0.7274506151572108,EWN,35.07361111,-77.0425,US,NC,east,no
299,299,0.998480160075419,EYW,24.55555556,-81.75972222,US,FL,east,no
300,300,0.40718156685776097,FCA,48.31277778,-114.25111111,US,MT,west,no
301,301,0.43935492115442426,FLO,34.18888889,-79.72444444,US,SC,east,no
302,302,0.3179815760874404,FSD,43.57888889,-96.74083333,US,SD,centre,no
303,303,0.0013368899519377285,GUC,38.53388889,-106.93888889,US,CO,west,no
304,304,0.9985778189237859,HDN,40.48166667,-107.22,US,CO,west,no
305,305,0.5182075187598424,HHH,32.21666667,-80.68333333,US,SC,east,no
306,306,0.7416217087745988,LFT,30.20472222,-91.9875,US,LA,centre,no
307,307,0.9987157656160328,LSF,32.33777778,-84.99222222,US,GA,east,no
308,308,0.001709317092616218,LWB,37.85972222,-80.39861111,US,WV,east,no
309,309,0.6803518917729077,LYH,37.32694444,-79.20111111,US,VA,east,no
310,310,0.9775434462555304,MEI,32.33722222,-88.74916667,US,MS,centre,no
311,311,0.9986539272376127,MKG,43.17055556,-86.2375,US,MI,east,no
312,312,0.8436884886228092,MLU,32.51111111,-92.03888889,US,LA,centre,no
313,313,0.0014292710371178123,MSL,34.74527778,-87.61027778,US,AL,centre,no
314,314,0.1783461415310369,MTJ,38.50055556,-107.89472222,US,CO,west,no
315,315,0.9700662267899928,OWB,37.74083333,-87.16583333,US,KY,centre,no
316,316,0.15714021401862788,PFN,30.2125,-85.68194444,US,FL,east,no
317,317,0.9976551355580618,PHF,37.13166667,-76.49333333,US,VA,east,no
318,318,0.42954922233259124,PIA,40.66138889,-89.68722222,US,IL,east,no
319,319,0.0013495492481399583,PIH,42.91333333,-112.59444444,US,ID,west,no
320,320,0.0017967063675261208,PTK,42.665,-83.41805556,US,MI,east,no
321,321,0.5270191318746272,SUS,38.66194444,-90.65,US,MO,centre,no
322,322,0.8456326436208256,SWF,41.50583333,-74.09722222,US,NY,east,no
323,323,0.9848487472993839,VLD,30.78222222,-83.27694444,US,GA,east,no
324,324,0.6609425966031137,WRB,32.64,-83.59194444,US,GA,east,no
325,325,0.14321392938911132,RAP,44.04527778,-103.05694444,US,SD,centre,no
326,326,0.997440626863449,SCE,40.77083333,-77.88138889,US,PA,east,no
327,327,0.19443357986164642,SUX,42.40194444,-96.38416667,US,IA,centre,no
328,328,0.20587720230380782,AUG,44.31805556,-69.79666667,US,ME,east,no
329,329,0.00253713238126755,BHB,44.44888889,-68.36166667,US,ME,east,no
330,330,0.5305003423910876,CDC,37.7025,-113.09611111,US,UT,west,no
331,331,0.9975936466929354,CKB,39.29555556,-80.22944444,US,WV,east,no
332,332,0.6284768496761468,CMX,47.16777778,-88.48638889,US,MI,east,no
333,333,0.001565388266290263,HLN,46.60666667,-111.98194444,US,MT,west,no
334,334,0.9637619167470087,MKC,39.12333333,-94.59277778,US,MO,centre,no
335,335,0.0012790865714899687,SAF,35.6175,-106.08833333,US,NM,west,no
336,336,0.9985150418448874,SCF,33.62277778,-111.91055556,US,AZ,west,no
337,337,0.22030623034962799,SPI,39.84416667,-89.67888889,US,IL,east,no
338,338,0.022170851175263948,TCM,47.13833333,-122.475,US,WA,west,no
339,339,0.31923525249141055,TTN,40.27805556,-74.8125,US,NJ,east,no
340,340,0.0010885084381893279,WRI,40.01555556,-74.59388889,US,NJ,east,no
341,341,0.6032380714093942,BKW,37.78194444,-81.12416667,US,WV,east,no
342,342,0.9985186747796108,PLN,45.57083333,-84.79277778,US,MI,east,no
343,343,0.07918762539382641,LSE,43.87722222,-91.25638889,US,WI,centre,no
344,344,0.5274936573455249,AZ3,33.52722222,-112.29527778,US,AZ,west,no
345,345,0.008920113766848528,BIS,46.77888889,-100.7525,US,ND,centre,no
346,346,0.003999302972929389,CSM,35.33972222,-99.20027778,US,OK,centre,no
347,347,0.0017444869435413637,FNL,40.44888889,-105.01027778,US,CO,west,no
348,348,0.3586776793567119,FTW,32.8175,-97.35861111,US,TX,centre,no
349,349,0.9989046555292991,GRI,40.96722222,-98.30666667,US,NE,centre,no
350,350,0.0023181648444322205,MFR,42.37361111,-122.87222222,US,OR,west,no
351,351,0.10949966258164674,MSO,46.91555556,-114.0875,US,MT,west,no
352,352,0.34930481780281714,RDM,44.25444444,-121.15138889,US,OR,west,no
353,353,0.4762661064488617,RFD,42.19722222,-89.0925,US,IL,east,no
354,354,0.4420158931055698,TWF,42.48194444,-114.48666667,US,ID,west,no
355,355,0.330208941193588,VCV,34.5975,-117.38305556,US,CA,west,no
356,356,0.24625582577394206,BAD,32.50166667,-93.6625,US,LA,centre,no
357,357,0.001494021653277724,LSV,36.23388889,-115.03361111,US,NV,west,no
358,358,0.4207698808288721,BAF,42.16,-72.71638889,US,MA,east,no
359,359,0.9981255306511412,BBX,40.13666667,-75.2675,US,PA,east,no
360,360,0.5858084377524675,UOS,35.20527778,-85.89805556,US,TN,east,no
361,361,0.05841447943529663,BCE,37.70638889,-112.14472222,US,UT,west,no
362,362,0.38279226253764,BLD,35.9475,-114.86111111,US,NV,west,no
363,363,0.9986332525095416,PGA,36.92638889,-111.44722222,US,AZ,west,no
364,364,0.011105613580199097,BCT,26.37083333,-80.10833333,US,FL,east,no
365,365,0.24590136684556077,BDY,43.0875,-124.40833333,US,OR,west,no
366,366,0.00514694858422927,EEN,42.90083333,-72.27083333,US,NH,east,no
367,367,0.05482369904757286,BFD,41.80222222,-78.63944444,US,PA,east,no
368,368,0.9808553460889528,DUJ,41.17833333,-78.89888889,US,PA,east,no
369,369,0.0014414088989509839,FKL,41.37777778,-79.86027778,US,PA,east,no
370,370,0.8765467411908888,JHW,42.15055556,-79.25805556,US,NY,east,no
371,371,0.997634840950805,ISN,48.17611111,-103.63611111,US,ND,centre,no
372,372,0.9982200355721158,LBF,41.12833333,-100.69666667,US,NE,centre,no
373,373,0.42394757526693166,SDY,47.70694444,-104.19194444,US,MT,west,no
374,374,0.3979609796894528,CLM,48.11888889,-123.49361111,US,WA,west,no
375,375,0.0011961535438954941,ESD,48.70833333,-122.9125,US,WA,west,no
376,376,0.8761434399169598,FRD,48.52638889,-123.02388889,US,WA,west,no
377,377,0.998893702403445,LPS,48.48277778,-122.93555556,US,WA,west,no
378,378,0.0012108510660806993,ONP,44.57944444,-124.05777778,US,OR,west,no
379,379,0.3467513858100944,PWT,47.485,-122.76333333,US,WA,west,no
380,380,0.997734925673607,RCE,48.61222222,-123.13861111,US,WA,west,no
381,381,0.09012222941482224,SQV,48.09777778,-123.18527778,US,WA,west,no
382,382,0.11646696712129877,VWE,47.86583333,-119.94277778,US,WA,west,no
383,383,0.6842206511349637,BFK,39.70166667,-104.75166667,US,CO,west,no
384,384,0.30985355604280784,SMX,34.905,-120.45777778,US,CA,west,no
385,385,0.9296645984318996,BFM,30.62638889,-88.06805556,US,AL,centre,no
386,386,0.2703265194583435,BGM,42.20138889,-75.96916667,US,NY,east,no
387,387,0.9985955770513258,IAG,43.10722222,-78.94555556,US,NY,east,no
388,388,0.7477294432118142,ILG,39.67833333,-75.6075,US,DE,east,no
389,389,0.8686225982049491,STP,44.93444444,-93.06,US,MN,centre,no
390,390,0.9973718078789725,HKY,35.74055556,-81.39,US,NC,east,no
391,391,0.8047418360321308,HTS,38.36694444,-82.55611111,US,WV,east,no
392,392,0.9439760752737658,BID,41.16666667,-71.57916667,US,RI,east,no
393,393,0.9964350343654975,BLM,40.18666667,-74.125,US,NJ,east,no
394,394,0.0020681538789383987,WST,41.35222222,-71.80416667,US,RI,east,no
395,395,0.7597921636030099,HOP,36.67277778,-87.49166667,US,KY,centre,no
396,396,0.9985988098753518,PSM,43.07777778,-70.82333333,US,NH,east,no
397,397,0.34431787863470903,SKF,29.38,-98.58388889,US,TX,centre,no
398,398,0.996155080119844,VOK,43.93833333,-90.26833333,US,WI,centre,no
399,399,0.3690890389538569,FLG,35.13777778,-111.67166667,US,AZ,west,no
400,400,0.8429420374723819,GCC,44.35138889,-105.525,US,WY,west,no
401,401,0.9108630584479174,GDV,47.13888889,-104.80694444,US,MT,west,no
402,402,0.0020340598664137007,GGW,48.21277778,-106.61555556,US,MT,west,no
403,403,0.9988478779639535,HVR,48.54444444,-109.76111111,US,MT,west,no
404,404,0.998088824789999,LWT,47.05111111,-109.47111111,US,MT,west,no
405,405,0.9116356344468851,MLS,46.43055556,-105.88055556,US,MT,west,no
406,406,0.7189139154472811,OLF,48.09472222,-105.56638889,US,MT,west,no
407,407,0.21386680802148006,SHR,44.77416667,-106.97722222,US,WY,west,no
408,408,0.998702377223969,CPR,42.90861111,-106.4625,US,WY,west,no
409,409,0.04378723984391933,DWH,30.06388889,-95.55972222,US,TX,centre,no
410,410,0.09785062502813739,BJI,47.50972222,-94.93472222,US,MN,centre,no
411,411,0.9970626622157871,SLK,44.38277778,-74.20666667,US,NY,east,no
412,412,0.0017169338499651886,DQR,35.98861111,-113.81,US,AZ,west,no
413,413,0.06987804375715975,DTH,36.46388889,-116.88055556,US,CA,west,no
414,414,0.0016778156519802537,GCN,35.95194444,-112.1475,US,AZ,west,no
415,415,0.8463598247394195,MYH,36.73388889,-111.75333333,US,AZ,west,no
416,416,0.0017736284998126214,SDX,34.84861111,-111.78777778,US,AZ,west,no
417,417,0.9985005341161116,SCK,37.89444444,-121.23916667,US,CA,west,no
418,418,0.8037306969616348,BLV,38.54277778,-89.85111111,US,IL,east,no
419,419,0.6710525744489937,BMG,39.14,-86.61472222,US,IN,east,no
420,420,0.6642178046301467,ELM,42.16083333,-76.89527778,US,NY,east,no
421,421,0.9984092247941617,ITH,42.49027778,-76.45805556,US,NY,east,no
422,422,0.9984679558322984,MQT,46.35361111,-87.39527778,US,MI,east,no
423,423,0.002271676130741277,LWS,46.37472222,-117.01444444,US,ID,west,no
424,424,0.25470324645406106,PUW,46.74472222,-117.105,US,WA,west,no
425,425,0.27831480545613785,RQZ,30.42888889,-86.68888889,US,FL,east,no
426,426,0.688700388068835,SUN,43.50416667,-114.30833333,US,ID,west,no
427,427,0.001314324656658291,LEB,43.62805556,-72.30583333,US,NH,east,no
428,428,0.7809714153937275,PBG,44.65083333,-73.46805556,US,NY,east,no
429,429,0.007840548426894663,PQI,46.685,-68.0475,US,ME,east,no
430,430,0.0014640373685020404,PVC,42.07194444,-70.22166667,US,MA,east,no
431,431,0.3498089427464044,RKD,44.05916667,-69.09805556,US,ME,east,no
432,432,0.57150448128972,RUT,43.52944444,-72.94833333,US,VT,east,no
433,433,0.6545044380652834,BRD,46.39722222,-94.1375,US,MN,centre,no
434,434,0.004355356165081038,BRL,40.78611111,-91.12333333,US,IA,centre,no
435,435,0.6952539765773842,ADS,32.96833333,-96.83611111,US,TX,centre,no
436,436,0.6128258664317624,BRO,25.90638889,-97.42555556,US,TX,centre,no
437,437,0.5287499976641491,BTL,42.30916667,-85.24777778,US,MI,east,no
438,438,0.9989305163212918,BTM,45.95111111,-112.49388889,US,MT,west,no
439,439,0.2561788172468952,TYR,32.35472222,-95.39888889,US,TX,centre,no
440,440,0.9987366788183538,MIE,40.23972222,-85.39444444,US,IN,east,no
441,441,0.5427657530406009,PKB,39.34555556,-81.43888889,US,WV,east,no
442,442,0.9989057030265628,RDG,40.37861111,-75.96388889,US,PA,east,no
443,443,0.20978026778920972,DWA,38.57916667,-121.85666667,US,CA,west,no
444,444,0.002350073289327693,FVG,33.96972222,-112.79638889,US,AZ,west,no
445,445,0.050848222874441434,GYR,33.42361111,-112.37416667,US,AZ,west,no
446,446,0.1407973953261038,HIO,45.54055556,-122.94861111,US,OR,west,no
447,447,0.9985193358087836,HSH,35.97277778,-115.13444444,US,NV,west,no
448,448,0.006167151446671558,MSC,33.46083333,-111.72833333,US,AZ,west,no
449,449,0.9175566037519243,OPF,25.90694444,-80.28027778,US,FL,east,no
450,450,0.6772706238827946,ORL,28.54416667,-81.33555556,US,FL,east,no
451,451,0.0010482515681367781,OTH,43.41888889,-124.24,US,OR,west,no
452,452,0.0009858586006485117,PDK,33.875,-84.30222222,US,GA,east,no
453,453,0.9914946199719399,PSF,42.42666667,-73.29166667,US,MA,east,no
454,454,0.9988452275457242,PVU,40.21805556,-111.72222222,US,UT,west,no
455,455,0.18991014819287533,RBD,32.68027778,-96.86722222,US,TX,centre,no
456,456,0.0025240348980767892,RIL,39.51805556,-107.77916667,US,CO,west,no
457,457,0.9989157199648523,SAA,41.445,-106.81,US,WY,west,no
458,458,0.16977965692557279,SAC,38.5125,-121.4925,US,CA,west,no
459,459,0.6502915736227857,SLN,38.79083333,-97.6525,US,KS,centre,no
460,460,0.24482012063237077,SPW,43.16388889,-95.20083333,US,IA,centre,no
461,461,0.866412445509745,STS,38.50916667,-122.81166667,US,CA,west,no
462,462,0.6523032532459855,TEX,37.95388889,-107.90833333,US,CO,west,no
463,463,0.9733687097735835,UGN,42.42138889,-87.86694444,US,IL,east,no
464,464,0.16172295138706974,VIS,36.31944444,-119.39388889,US,CA,west,no
465,465,0.20449137148285787,VWN,34.15055556,-114.27138889,US,AZ,west,no
466,466,0.9616309737450691,YKM,46.56694444,-120.53777778,US,WA,west,no
467,467,0.176018464181256,BVO,36.7625,-96.01083333,US,OK,centre,no
468,468,0.2389750201335757,BVY,42.58333333,-70.91555556,US,MA,east,no
469,469,0.014941486424136249,CGF,41.56527778,-81.48666667,US,OH,east,no
470,470,0.0021995918429104865,BWG,36.96222222,-86.42222222,US,KY,centre,no
471,471,0.0012082331666512123,EFD,29.60722222,-95.15861111,US,TX,centre,no
472,472,0.08384262746209463,FWH,32.76888889,-97.44111111,US,TX,centre,no
473,473,0.0015261475560675282,HGR,39.70777778,-77.73,US,MD,east,no
474,474,0.9982299694670868,LNS,40.12111111,-76.29972222,US,PA,east,no
475,475,0.9929613829347306,MRK,25.99472222,-81.67277778,US,FL,east,no
476,476,0.20243998896271986,OCF,29.17555556,-82.22694444,US,FL,east,no
477,477,0.9347986862214422,CAD,44.27583333,-85.41916667,US,MI,east,no
478,478,0.5145398994938074,CMI,40.03972222,-88.27972222,US,IL,east,no
479,479,0.7119968729218884,PIB,31.4675,-89.33666667,US,MS,centre,no
480,480,0.44118332550996275,TXK,33.45638889,-93.98916667,US,AR,centre,no
481,481,0.998488665153166,CDR,42.835,-103.09777778,US,NE,centre,no
482,482,0.3548874178658342,SHD,38.26388889,-78.89666667,US,VA,east,no
483,483,0.5459281113368268,CEZ,37.30277778,-108.62722222,US,CO,west,no
484,484,0.45605736515344886,FMN,36.74111111,-108.22916667,US,NM,west,no
485,485,0.5914920937850939,FSM,35.33666667,-94.3675,US,AR,centre,no
486,486,0.0021865537035150218,FXE,26.19694444,-80.17083333,US,FL,east,no
487,487,0.8951638379514846,CIC,39.79583333,-121.85666667,US,CA,west,no
488,488,0.9979510023112821,LAF,40.41194444,-86.93361111,US,IN,east,no
489,489,0.944135323763504,LCK,39.81416667,-82.93222222,US,OH,east,no
490,490,0.997831902959553,MCW,43.15694444,-93.32944444,US,IA,centre,no
491,491,0.6848769941270438,MGW,39.64277778,-79.91583333,US,WV,east,no
492,492,0.2273934040158232,CLD,33.12861111,-117.27972222,US,CA,west,no
493,493,0.7473252922051079,KEH,47.75472222,-122.25916667,US,WA,west,no
494,494,0.9702315240076209,LKE,47.62888889,-122.33861111,US,WA,west,no
495,495,0.9986917124902365,SBY,38.33861111,-75.51,US,MD,east,no
496,496,0.8997744493244897,STJ,39.77583333,-94.91,US,MO,centre,no
497,497,0.8457893924258842,CNY,38.75944444,-109.74611111,US,UT,west,no
498,498,0.45762414985197947,ELY,39.30194444,-114.84194444,US,NV,west,no
499,499,0.7648002702527052,COD,44.51583333,-109.0275,US,WY,west,no
500,500,0.9984874511850258,COE,47.775,-116.81777778,US,ID,west,no
501,501,0.8941566186467466,OFF,41.11833333,-95.91222222,US,NE,centre,no
502,502,0.0017646035128027334,SUU,38.2625,-121.92694444,US,CA,west,no
503,503,0.7392269584154241,VBG,34.72972222,-120.57583333,US,CA,west,no
504,504,0.004053473428370237,LCH,30.13111111,-93.22555556,US,LA,centre,no
505,505,0.6375484455012342,CPS,38.57138889,-90.15722222,US,MO,centre,no
506,506,0.9984350285065751,CRG,30.33638889,-81.51444444,US,FL,east,no
507,507,0.2627709117164572,CVS,34.385,-103.32388889,US,NM,west,no
508,508,0.9990269091873568,EAU,44.86444444,-91.48722222,US,WI,centre,no
509,509,0.2077823479241957,RSJ,48.63333333,-122.85,US,WA,west,no
510,510,0.3427853729371552,RKS,41.59638889,-109.06583333,US,WY,west,no
511,511,0.49836188553162475,WRL,43.9675,-107.95305556,US,WY,west,no
512,512,0.0011683064487854403,DOV,39.12694444,-75.46444444,US,DE,east,no
513,513,0.9984914903909604,DAG,34.85388889,-116.78611111,US,CA,west,no
514,514,0.006078642153527195,DBQ,42.41,-90.71083333,US,IA,centre,no
515,515,0.5816789043414833,SPS,33.98833333,-98.49194444,US,TX,centre,no
516,516,0.7920183796725664,DDC,37.76166667,-99.965,US,KS,centre,no
517,517,0.7981482348324282,GBD,38.34722222,-98.86416667,US,KS,centre,no
518,518,0.001135849721968492,GCK,37.92861111,-100.72972222,US,KS,centre,no
519,519,0.0007875472012219913,DEC,39.83416667,-88.86861111,US,IL,east,no
520,520,0.9894654085485366,DIK,46.79666667,-102.79638889,US,ND,centre,no
521,521,0.0014596655235955408,DRO,37.15,-107.75111111,US,CO,west,no
522,522,0.0017976643843030135,EAR,40.72833333,-98.99888889,US,NE,centre,no
523,523,0.984502038279718,HON,44.38361111,-98.22638889,US,SD,centre,no
